job_id,job_title,domain,employment_type,seniority,experience_required,company_type,location,job_description,skills
0f1dae74-b7cb-4cd9-a441-eceb5c7edbef,Embedded Software Engineer,Embedded,Full-time,Mid-Level,1-3 years,fast-growing startup,"San Francisco, CA","We are a fast-growing startup seeking a Embedded Software Engineer (Mid-Level) to join our team. You will optimize code
for memory and performance constraints, develop firmware for embedded devices, and debug low-level issues using logic
analyzers and debuggers. This role is based in San Francisco, CA and offers opportunities to work on real-world systems
at scale.","I2C, C, SPI, UART, RTOS"
f8f29210-284b-45eb-92be-61e50590c68e,Backend Software Engineer,Backend,Full-time,Mid-Level,3-5 years,FAANG-scale tech company,"Seattle, WA","We are a FAANG-scale tech company seeking a Backend Software Engineer (Mid-Level) to join our team. You will optimize
database queries and system performance, design and build scalable backend services, and collaborate with frontend and
infrastructure teams. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","Kafka, NoSQL, Java, REST, gRPC"
1d556abd-3f41-4f84-aadf-78686a192229,Firmware Engineer,Embedded,Internship,Intern,0 years,enterprise SaaS company,"San Francisco, CA","We are a enterprise SaaS company seeking a Firmware Engineer (Intern) to join our team. You will develop firmware for
embedded devices, interface directly with hardware components, and debug low-level issues using logic analyzers and
debuggers. This role is based in San Francisco, CA and offers opportunities to work on real-world systems at scale.","UART, RTOS, C, SPI, C++"
33bdd3fe-ae63-44ba-accb-9ffb69004705,AI Engineer,ML,Full-time,Mid-Level,1-3 years,healthtech company,Remote,"We are a healthtech company seeking a AI Engineer (Mid-Level) to join our team. You will experiment with new algorithms
and model architectures, evaluate model performance and iterate rapidly, and train and deploy machine learning models to
production. This role is based in Remote and offers opportunities to work on real-world systems at scale.","Python, Feature Engineering, TensorFlow, ML Algorithms, PyTorch"
4468d7e4-289a-4753-b9f3-2792a35dd566,Backend Software Engineer,Backend,Internship,Intern,0 years,FAANG-scale tech company,Hybrid,"We are a FAANG-scale tech company seeking a Backend Software Engineer (Intern) to join our team. You will develop and
maintain APIs used by millions of users, collaborate with frontend and infrastructure teams, and optimize database
queries and system performance. This role is based in Hybrid and offers opportunities to work on real-world systems at
scale.","Java, NoSQL, Go, REST, Redis"
2e7f08c6-90cf-421a-b55d-e13c56bfe83e,Web Engineer,Frontend,Internship,Intern,0 years,AI-first startup,"Boston, MA","We are a AI-first startup seeking a Web Engineer (Intern) to join our team. You will translate design mockups into
production-ready code, collaborate closely with designers and product managers, and optimize frontend performance and
bundle sizes. This role is based in Boston, MA and offers opportunities to work on real-world systems at scale.","React, HTML, CSS, TypeScript"
6dfd2be4-97df-4189-8f77-4d2f77cadcaf,Full Stack Engineer,Full Stack,Internship,Intern,0 years,cloud infrastructure company,Hybrid,"We are a cloud infrastructure company seeking a Full Stack Engineer (Intern) to join our team. You will implement
authentication and authorization flows, own features end-to-end from UI to database, and deploy and monitor production
systems. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","Node.js, React, Django, Flask"
467a42db-0676-40a5-ad0c-9f21494b9c60,Applied Scientist,ML,Internship,Intern,0 years,fast-growing startup,"Boston, MA","We are a fast-growing startup seeking a Applied Scientist (Intern) to join our team. You will experiment with new
algorithms and model architectures, evaluate model performance and iterate rapidly, and collaborate with data engineers
on data pipelines. This role is based in Boston, MA and offers opportunities to work on real-world systems at scale.","ML Algorithms, Model Evaluation, PyTorch, Feature Engineering, Python"
b3deec6e-bea4-4b23-b85c-bdcf87bd90aa,Firmware Engineer,Embedded,Internship,Intern,0 years,enterprise SaaS company,"San Francisco, CA","We are a enterprise SaaS company seeking a Firmware Engineer (Intern) to join our team. You will interface directly with
hardware components, debug low-level issues using logic analyzers and debuggers, and develop firmware for embedded
devices. This role is based in San Francisco, CA and offers opportunities to work on real-world systems at scale.","SPI, Microcontrollers, C, UART, I2C"
a3120631-8ba6-47df-b276-3e64ed162e71,Platform Engineer,DevOps,Internship,Intern,0 years,healthtech company,Remote,"We are a healthtech company seeking a Platform Engineer (Intern) to join our team. You will build and maintain CI/CD
pipelines, improve system reliability and observability, and respond to incidents and perform root-cause analysis. This
role is based in Remote and offers opportunities to work on real-world systems at scale.","Terraform, AWS, Monitoring, CI/CD, Kubernetes"
879014d9-2a27-4811-b1de-97bec737ca7a,Firmware Engineer,Embedded,Internship,Intern,0 years,FAANG-scale tech company,"New York, NY","We are a FAANG-scale tech company seeking a Firmware Engineer (Intern) to join our team. You will debug low-level issues
using logic analyzers and debuggers, optimize code for memory and performance constraints, and develop firmware for
embedded devices. This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","C++, Microcontrollers, C, RTOS, I2C, SPI, UART"
7198ba36-5bbd-4f22-9e8a-0096986bd280,UI Engineer,Frontend,Full-time,Mid-Level,3-5 years,FAANG-scale tech company,"Seattle, WA","We are a FAANG-scale tech company seeking a UI Engineer (Mid-Level) to join our team. You will build responsive and
accessible user interfaces, collaborate closely with designers and product managers, and optimize frontend performance
and bundle sizes. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","Web Performance, JavaScript, Accessibility, React, HTML, CSS"
5e3c393b-814b-43c5-b85b-4cf628b16556,Distributed Systems Engineer,Backend,Full-time,Mid-Level,0-1 years,fast-growing startup,"Boston, MA","We are a fast-growing startup seeking a Distributed Systems Engineer (Mid-Level) to join our team. You will develop and
maintain APIs used by millions of users, optimize database queries and system performance, and collaborate with frontend
and infrastructure teams. This role is based in Boston, MA and offers opportunities to work on real-world systems at
scale.","Kafka, Go, Redis, gRPC, SQL, REST, Python"
b7075339-7ad9-495b-ad82-ece674276756,Business Intelligence Engineer,Data,Internship,Intern,0 years,healthtech company,"Austin, TX","We are a healthtech company seeking a Business Intelligence Engineer (Intern) to join our team. You will analyze large
datasets to extract actionable insights, define metrics and KPIs to guide business decisions, and work with engineering
teams to improve data quality. This role is based in Austin, TX and offers opportunities to work on real-world systems
at scale.","Python, A/B Testing, SQL, Power BI"
66a77e8d-103b-4afa-b2db-2b1adf0fc7e1,Machine Learning Engineer,ML,Full-time,New Grad,3-5 years,AI-first startup,Remote,"We are a AI-first startup seeking a Machine Learning Engineer (New Grad) to join our team. You will experiment with new
algorithms and model architectures, collaborate with data engineers on data pipelines, and evaluate model performance
and iterate rapidly. This role is based in Remote and offers opportunities to work on real-world systems at scale.","Python, Model Evaluation, TensorFlow, Feature Engineering"
7170b6ea-f775-453b-9317-d5d35bcfa2ba,Web Engineer,Frontend,Full-time,Mid-Level,3-5 years,healthtech company,"Austin, TX","We are a healthtech company seeking a Web Engineer (Mid-Level) to join our team. You will build responsive and
accessible user interfaces, optimize frontend performance and bundle sizes, and translate design mockups into
production-ready code. This role is based in Austin, TX and offers opportunities to work on real-world systems at scale.","Web Performance, Accessibility, Next.js, TypeScript, JavaScript"
aba80375-b4c2-4fad-87c1-32adc4b56033,Software Engineer – Full Stack,Full Stack,Internship,Intern,0 years,fintech company,Hybrid,"We are a fintech company seeking a Software Engineer – Full Stack (Intern) to join our team. You will deploy and monitor
production systems, implement authentication and authorization flows, and design APIs and integrate frontend with
backend services. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","APIs, Authentication, React, SQL"
5c48c1c8-5cc0-4cc1-882e-4a4ab51ff900,DevOps Engineer,DevOps,Full-time,New Grad,0-1 years,healthtech company,"Austin, TX","We are a healthtech company seeking a DevOps Engineer (New Grad) to join our team. You will manage cloud infrastructure
and deployments, build and maintain CI/CD pipelines, and respond to incidents and perform root-cause analysis. This role
is based in Austin, TX and offers opportunities to work on real-world systems at scale.","Terraform, Kubernetes, CI/CD, AWS"
7d500fa7-32b9-437a-8596-453a7072f169,Platform Engineer,DevOps,Full-time,New Grad,3-5 years,healthtech company,Hybrid,"We are a healthtech company seeking a Platform Engineer (New Grad) to join our team. You will respond to incidents and
perform root-cause analysis, manage cloud infrastructure and deployments, and build and maintain CI/CD pipelines. This
role is based in Hybrid and offers opportunities to work on real-world systems at scale.","Docker, Kubernetes, AWS, Terraform"
f7e50242-899c-443a-82d5-235838327766,Site Reliability Engineer,DevOps,Full-time,New Grad,1-3 years,FAANG-scale tech company,"Austin, TX","We are a FAANG-scale tech company seeking a Site Reliability Engineer (New Grad) to join our team. You will manage cloud
infrastructure and deployments, build and maintain CI/CD pipelines, and respond to incidents and perform root-cause
analysis. This role is based in Austin, TX and offers opportunities to work on real-world systems at scale.","Terraform, CI/CD, Monitoring, AWS, Kubernetes"
379df542-6d11-485f-98de-2d0fc8b4b010,Frontend Engineer,Frontend,Full-time,Mid-Level,1-3 years,FAANG-scale tech company,Remote,"We are a FAANG-scale tech company seeking a Frontend Engineer (Mid-Level) to join our team. You will translate design
mockups into production-ready code, collaborate closely with designers and product managers, and build responsive and
accessible user interfaces. This role is based in Remote and offers opportunities to work on real-world systems at
scale.","React, JavaScript, HTML, Accessibility, TypeScript, CSS, Web Performance"
93d75fe4-f026-4c40-b5ee-0e8e43a2ff9d,Machine Learning Engineer,ML,Full-time,Mid-Level,0-1 years,fintech company,"Boston, MA","We are a fintech company seeking a Machine Learning Engineer (Mid-Level) to join our team. You will experiment with new
algorithms and model architectures, collaborate with data engineers on data pipelines, and evaluate model performance
and iterate rapidly. This role is based in Boston, MA and offers opportunities to work on real-world systems at scale.","Feature Engineering, Model Evaluation, TensorFlow, PyTorch, Python, ML Algorithms"
95f4d297-8744-4f26-9e29-6c7d8950465d,Web Engineer,Frontend,Internship,Intern,0 years,fintech company,"New York, NY","We are a fintech company seeking a Web Engineer (Intern) to join our team. You will build responsive and accessible user
interfaces, collaborate closely with designers and product managers, and optimize frontend performance and bundle sizes.
This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","JavaScript, Next.js, HTML, CSS"
3e379823-de6f-4f57-ad7c-939f879a420c,AI Engineer,ML,Full-time,Junior,0-1 years,fast-growing startup,"New York, NY","We are a fast-growing startup seeking a AI Engineer (Junior) to join our team. You will evaluate model performance and
iterate rapidly, collaborate with data engineers on data pipelines, and train and deploy machine learning models to
production. This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","PyTorch, ML Algorithms, TensorFlow, Feature Engineering, Python"
1a059040-ae9b-42ef-990d-440e96ee2383,UI Engineer,Frontend,Full-time,New Grad,3-5 years,healthtech company,"San Francisco, CA","We are a healthtech company seeking a UI Engineer (New Grad) to join our team. You will optimize frontend performance
and bundle sizes, collaborate closely with designers and product managers, and translate design mockups into production-
ready code. This role is based in San Francisco, CA and offers opportunities to work on real-world systems at scale.","HTML, Web Performance, TypeScript, React, CSS, Accessibility"
0a28836a-9954-4f09-ae84-d9c5f032777e,Full Stack Engineer,Full Stack,Full-time,Mid-Level,1-3 years,cloud infrastructure company,"New York, NY","We are a cloud infrastructure company seeking a Full Stack Engineer (Mid-Level) to join our team. You will design APIs
and integrate frontend with backend services, implement authentication and authorization flows, and deploy and monitor
production systems. This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","React, Django, Node.js, APIs"
5a40f6eb-bfb1-44b5-94f9-ba41635b3634,Applied Scientist,ML,Internship,Intern,0 years,healthtech company,Remote,"We are a healthtech company seeking a Applied Scientist (Intern) to join our team. You will experiment with new
algorithms and model architectures, collaborate with data engineers on data pipelines, and train and deploy machine
learning models to production. This role is based in Remote and offers opportunities to work on real-world systems at
scale.","Python, PyTorch, Model Evaluation, Feature Engineering"
e220c11f-f1e8-4a54-944e-f0d1bdf0ebd5,API Engineer,Backend,Internship,Intern,0 years,cloud infrastructure company,Hybrid,"We are a cloud infrastructure company seeking a API Engineer (Intern) to join our team. You will design and build
scalable backend services, develop and maintain APIs used by millions of users, and optimize database queries and system
performance. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","SQL, REST, Kafka, Java"
be7d6cdd-c2e6-443e-b8ed-5e4ead6739e0,Applied Scientist,ML,Full-time,New Grad,0-1 years,cloud infrastructure company,Hybrid,"We are a cloud infrastructure company seeking a Applied Scientist (New Grad) to join our team. You will evaluate model
performance and iterate rapidly, experiment with new algorithms and model architectures, and train and deploy machine
learning models to production. This role is based in Hybrid and offers opportunities to work on real-world systems at
scale.","ML Algorithms, Python, PyTorch, TensorFlow"
7438bfe3-e540-44d5-aa29-a675963664e0,Full Stack Engineer,Full Stack,Full-time,Junior,0-1 years,cloud infrastructure company,"Austin, TX","We are a cloud infrastructure company seeking a Full Stack Engineer (Junior) to join our team. You will design APIs and
integrate frontend with backend services, own features end-to-end from UI to database, and implement authentication and
authorization flows. This role is based in Austin, TX and offers opportunities to work on real-world systems at scale.","Node.js, Flask, Django, SQL, React"
c617fe7c-8612-4a7f-80ec-c04268aa88f7,Business Intelligence Engineer,Data,Internship,Intern,0 years,cloud infrastructure company,Remote,"We are a cloud infrastructure company seeking a Business Intelligence Engineer (Intern) to join our team. You will
analyze large datasets to extract actionable insights, work with engineering teams to improve data quality, and build
dashboards and reports for stakeholders. This role is based in Remote and offers opportunities to work on real-world
systems at scale.","Statistics, Power BI, Tableau, A/B Testing, Python"
6132cc83-f716-45aa-92eb-55f1dab91392,Web Engineer,Frontend,Internship,Intern,0 years,FAANG-scale tech company,Remote,"We are a FAANG-scale tech company seeking a Web Engineer (Intern) to join our team. You will optimize frontend
performance and bundle sizes, build responsive and accessible user interfaces, and translate design mockups into
production-ready code. This role is based in Remote and offers opportunities to work on real-world systems at scale.","CSS, Web Performance, React, Next.js, JavaScript, TypeScript, HTML"
9514341d-ea38-4fe3-ae99-216b2e4bc2bf,Backend Software Engineer,Backend,Internship,Intern,0 years,fintech company,Remote,"We are a fintech company seeking a Backend Software Engineer (Intern) to join our team. You will collaborate with
frontend and infrastructure teams, develop and maintain APIs used by millions of users, and optimize database queries
and system performance. This role is based in Remote and offers opportunities to work on real-world systems at scale.","SQL, Java, Kafka, Go, gRPC, NoSQL"
eecf4253-6e15-47b0-b885-6e76c89282fb,Firmware Engineer,Embedded,Full-time,New Grad,1-3 years,AI-first startup,"Austin, TX","We are a AI-first startup seeking a Firmware Engineer (New Grad) to join our team. You will develop firmware for
embedded devices, interface directly with hardware components, and debug low-level issues using logic analyzers and
debuggers. This role is based in Austin, TX and offers opportunities to work on real-world systems at scale.","SPI, UART, RTOS, Microcontrollers, I2C"
3bf81f72-69ea-447c-b378-9d39ddb05aa8,UI Engineer,Frontend,Internship,Intern,0 years,fintech company,"Austin, TX","We are a fintech company seeking a UI Engineer (Intern) to join our team. You will build responsive and accessible user
interfaces, collaborate closely with designers and product managers, and translate design mockups into production-ready
code. This role is based in Austin, TX and offers opportunities to work on real-world systems at scale.","Next.js, HTML, Web Performance, TypeScript, JavaScript, Accessibility, React"
6b28ddd9-213f-4d96-99c1-8d93ab32ebb0,Frontend Engineer,Frontend,Full-time,New Grad,0-1 years,fast-growing startup,"Austin, TX","We are a fast-growing startup seeking a Frontend Engineer (New Grad) to join our team. You will translate design mockups
into production-ready code, optimize frontend performance and bundle sizes, and collaborate closely with designers and
product managers. This role is based in Austin, TX and offers opportunities to work on real-world systems at scale.","Web Performance, Next.js, CSS, HTML"
b703ad12-080d-4152-9200-b860b83929e5,Business Intelligence Engineer,Data,Full-time,New Grad,3-5 years,AI-first startup,Remote,"We are a AI-first startup seeking a Business Intelligence Engineer (New Grad) to join our team. You will work with
engineering teams to improve data quality, analyze large datasets to extract actionable insights, and define metrics and
KPIs to guide business decisions. This role is based in Remote and offers opportunities to work on real-world systems at
scale.","Tableau, Python, Power BI, Statistics"
1789e3d7-537e-4cc6-bad2-7aa6b9727672,DevOps Engineer,DevOps,Internship,Intern,0 years,fast-growing startup,Hybrid,"We are a fast-growing startup seeking a DevOps Engineer (Intern) to join our team. You will respond to incidents and
perform root-cause analysis, build and maintain CI/CD pipelines, and manage cloud infrastructure and deployments. This
role is based in Hybrid and offers opportunities to work on real-world systems at scale.","Monitoring, AWS, CI/CD, Kubernetes, Terraform"
99f408d3-cb4f-4fac-ade8-d6ade2f33d08,Business Intelligence Engineer,Data,Full-time,Mid-Level,1-3 years,cloud infrastructure company,Hybrid,"We are a cloud infrastructure company seeking a Business Intelligence Engineer (Mid-Level) to join our team. You will
build dashboards and reports for stakeholders, work with engineering teams to improve data quality, and define metrics
and KPIs to guide business decisions. This role is based in Hybrid and offers opportunities to work on real-world
systems at scale.","Tableau, Python, Statistics, Power BI, SQL, A/B Testing"
9f5dea00-7177-4b00-888a-426d9330844e,Full Stack Engineer,Full Stack,Full-time,New Grad,0-1 years,fintech company,"Boston, MA","We are a fintech company seeking a Full Stack Engineer (New Grad) to join our team. You will implement authentication
and authorization flows, deploy and monitor production systems, and design APIs and integrate frontend with backend
services. This role is based in Boston, MA and offers opportunities to work on real-world systems at scale.","APIs, Node.js, React, Flask, Authentication"
764d27d8-e420-4a86-8640-a19033cef79d,Data Analyst,Data,Full-time,Junior,1-3 years,cloud infrastructure company,"Seattle, WA","We are a cloud infrastructure company seeking a Data Analyst (Junior) to join our team. You will define metrics and KPIs
to guide business decisions, build dashboards and reports for stakeholders, and work with engineering teams to improve
data quality. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","SQL, Power BI, Tableau, Python, A/B Testing, Statistics"
79d75489-61ce-4a20-a132-cdf0dbe4cff1,Applied Scientist,ML,Full-time,Junior,0-1 years,enterprise SaaS company,"Austin, TX","We are a enterprise SaaS company seeking a Applied Scientist (Junior) to join our team. You will experiment with new
algorithms and model architectures, collaborate with data engineers on data pipelines, and train and deploy machine
learning models to production. This role is based in Austin, TX and offers opportunities to work on real-world systems
at scale.","Python, ML Algorithms, TensorFlow, Feature Engineering, PyTorch"
ffb0da60-a7fd-4c3c-bb11-15f895960d42,Applied Scientist,ML,Full-time,Junior,3-5 years,healthtech company,"Boston, MA","We are a healthtech company seeking a Applied Scientist (Junior) to join our team. You will experiment with new
algorithms and model architectures, train and deploy machine learning models to production, and collaborate with data
engineers on data pipelines. This role is based in Boston, MA and offers opportunities to work on real-world systems at
scale.","Python, ML Algorithms, PyTorch, Feature Engineering"
dfb3c1dd-b690-4b7f-9af4-ae57385f02de,Business Intelligence Engineer,Data,Full-time,Junior,1-3 years,enterprise SaaS company,Hybrid,"We are a enterprise SaaS company seeking a Business Intelligence Engineer (Junior) to join our team. You will analyze
large datasets to extract actionable insights, define metrics and KPIs to guide business decisions, and work with
engineering teams to improve data quality. This role is based in Hybrid and offers opportunities to work on real-world
systems at scale.","Statistics, Tableau, A/B Testing, SQL, Python"
0b1cfe78-4f07-4dfb-bf24-02335d65d2d9,Full Stack Engineer,Full Stack,Full-time,Mid-Level,0-1 years,cloud infrastructure company,Remote,"We are a cloud infrastructure company seeking a Full Stack Engineer (Mid-Level) to join our team. You will design APIs
and integrate frontend with backend services, deploy and monitor production systems, and own features end-to-end from UI
to database. This role is based in Remote and offers opportunities to work on real-world systems at scale.","Node.js, React, SQL, Authentication, APIs"
fb286843-3704-4775-84a0-3952fefdb68a,Machine Learning Engineer,ML,Internship,Intern,0 years,AI-first startup,"New York, NY","We are a AI-first startup seeking a Machine Learning Engineer (Intern) to join our team. You will train and deploy
machine learning models to production, evaluate model performance and iterate rapidly, and collaborate with data
engineers on data pipelines. This role is based in New York, NY and offers opportunities to work on real-world systems
at scale.","PyTorch, Feature Engineering, Python, ML Algorithms, Model Evaluation"
