resume_id,role,seniority,strong_skills,medium_skills,weak_skills,missing_skills,years_experience,projects_count,resume_quality,ats_score
R00001,Embedded Software Engineer,Senior,C++;UART;SPI;C;RTOS;Microcontrollers;I2C,Debugging,,,9.0,0,high,0.75
R00002,Systems Software Engineer,New Grad,Linux;C;Concurrency;Memory Management,C++;Profiling,Rust,,1.4,4,medium,0.6
R00003,Machine Learning Engineer,Intern,scikit-learn;PyTorch;MLflow,Python;Docker,AWS,TensorFlow,1.3,4,medium,0.56
R00004,Machine Learning Engineer,New Grad,MLflow;Python;AWS;PyTorch,scikit-learn;Docker,TensorFlow,,1.8,2,medium,0.65
R00005,DevOps Engineer,New Grad,Terraform;Python;Linux;Docker,AWS;CI/CD,Kubernetes,,1.4,2,medium,0.67
R00006,Data Engineer,Junior,AWS;SQL;Spark;GCP;Airflow,Kafka;Python,ETL,,2.1,3,medium,0.73
R00007,Embedded Software Engineer,New Grad,Debugging;C;UART;RTOS,I2C;SPI,C++,Microcontrollers,1.5,3,medium,0.67
R00008,Data Engineer,Junior,Kafka;ETL;Airflow;Spark;Python,AWS;GCP,SQL,,4.0,2,medium,0.71
R00009,DevOps Engineer,Intern,Terraform;Python;Kubernetes,AWS;Docker,Linux,CI/CD,1.2,3,medium,0.59
R00010,Site Reliability Engineer,New Grad,SLIs/SLOs;Observability;Go;Kubernetes,Python;Incident Response,Linux,,1.2,3,medium,0.62
R00011,Full-Stack Engineer,Intern,AWS;Docker;Node.js,TypeScript;Python,React,JavaScript;SQL,1.0,2,medium,0.59
R00012,Embedded Software Engineer,Junior,C;Microcontrollers;I2C;SPI;UART,RTOS;Debugging,C++,,2.6,1,medium,0.66
R00013,Systems Software Engineer,Intern,Linux;C++;C,Memory Management;Profiling,Rust,Concurrency,0.1,3,medium,0.55
R00014,Full-Stack Engineer,Junior,JavaScript;AWS;TypeScript;Node.js;React,Python;SQL,Docker,,3.9,3,medium,0.71
R00015,DevOps Engineer,Intern,Kubernetes;AWS;Docker,Linux;Terraform,Python,CI/CD,1.3,5,medium,0.62
R00016,DevOps Engineer,Mid,Python;CI/CD;Docker;AWS;Terraform;Linux,Kubernetes,,,4.5,1,high,0.8
R00017,Frontend Engineer,Mid,React;Testing;TypeScript;HTML;Accessibility;Next.js,JavaScript;CSS,,,4.8,2,high,0.78
R00018,Systems Software Engineer,Mid,Rust;Memory Management;C;Concurrency;C++;Profiling,Linux,,,4.7,2,high,0.72
R00019,Embedded Software Engineer,New Grad,I2C;C;C++;UART,Microcontrollers;Debugging,RTOS,SPI,2.4,3,medium,0.62
R00020,Backend Software Engineer,Junior,Java;CI/CD;REST APIs;C++;Docker,Go;PostgreSQL,AWS,Python;SQL,3.3,3,medium,0.7
R00021,Frontend Engineer,Mid,JavaScript;TypeScript;HTML;Next.js;Accessibility;React,Testing;CSS,,,4.5,1,high,0.72
R00022,Site Reliability Engineer,Intern,Observability;Incident Response;Python,SLIs/SLOs;Linux,Go,Kubernetes,0.0,2,medium,0.58
