id,seniority,domain,years_experience,strong_skills,medium_skills,weak_skills,education,projects_count
res_0,Entry,Full-Stack,0,"['Express', 'Angular', 'React', 'Node.js']",[],"['Project Management', 'Leadership']",Bootcamp,3
res_1,Senior,DevOps,8,"['Kubernetes', 'Terraform', 'AWS', 'Jenkins']","['Azure', 'Docker', 'GitHub Actions']","['Problem Solving', 'Communication']",Master,2
res_2,Principal,Frontend,14,"['Tailwind CSS', 'CSS3', 'Python', 'JavaScript']","['Vue.js', 'Svelte', 'HTML5']","['Mentoring', 'Leadership']",Bachelor,5
res_3,Principal,Full-Stack,12,"['Angular', 'React', 'Express', 'Node.js']",[],"['Mentoring', 'Communication']",Master,5
res_4,Senior,DevOps,10,"['Jenkins', 'AWS', 'Docker', 'Azure']","['Kubernetes', 'GitHub Actions', 'GCP']","['Mentoring', 'Project Management']",Master,6
res_5,Principal,DevOps,14,"['GCP', 'Azure', 'Jenkins', 'Terraform']","['AWS', 'Kubernetes', 'GitHub Actions']","['Problem Solving', 'Project Management']",Master,6
res_6,Senior,Backend,8,"['FastAPI', 'Express', 'JavaScript', 'Node.js']","['Python', 'TypeScript', 'Rails']","['Communication', 'Mentoring']",Bachelor,6
res_7,Senior,Data,8,"['PyTorch', 'TensorFlow', 'Scikit-learn', 'Spark']","['Pandas', 'NumPy', 'Kafka']","['Communication', 'Project Management']",Master,3
res_8,Senior,Frontend,8,"['CSS3', 'JavaScript', 'Next.js', 'HTML5']","['Tailwind CSS', 'React', 'Svelte']","['Communication', 'Mentoring']",Bootcamp,8
res_9,Mid,Frontend,6,"['Svelte', 'Python', 'CSS3', 'HTML5']","['Vue.js', 'Tailwind CSS', 'JavaScript']","['Communication', 'Mentoring']",Bootcamp,7
res_10,Senior,Full-Stack,9,"['Express', 'Node.js', 'React', 'Angular']",[],"['Communication', 'Mentoring']",Bootcamp,2
res_11,Entry,Backend,3,"['Node.js', 'Flask', 'FastAPI', 'Spring Boot']","['JavaScript', 'ASP.NET', 'TypeScript']","['Problem Solving', 'Mentoring']",Master,7
res_12,Senior,Data,9,"['PyTorch', 'Pandas', 'TensorFlow', 'Scikit-learn']","['NumPy', 'Kafka', 'Spark']","['Project Management', 'Problem Solving']",Bootcamp,2
res_13,Principal,Backend,14,"['JavaScript', 'Node.js', 'Flask', 'Spring Boot']","['TypeScript', 'Django', 'Python']","['Problem Solving', 'Mentoring']",Bootcamp,5
res_14,Senior,Data,7,"['NumPy', 'Spark', 'PyTorch', 'Scikit-learn']","['Pandas', 'Kafka', 'TensorFlow']","['Leadership', 'Communication']",Bachelor,7
res_15,Entry,DevOps,2,"['Terraform', 'GCP', 'Jenkins', 'GitHub Actions']","['Azure', 'Docker', 'Kubernetes']","['Mentoring', 'Problem Solving']",Bootcamp,6
res_16,Senior,Frontend,7,"['Angular', 'JavaScript', 'Vue.js', 'React']","['Svelte', 'Python', 'HTML5']","['Communication', 'Mentoring']",Master,4
res_17,Entry,DevOps,2,"['Docker', 'GCP', 'AWS', 'Jenkins']","['Terraform', 'Kubernetes', 'Azure']","['Leadership', 'Project Management']",Master,5
res_18,Mid,Data,5,"['TensorFlow', 'NumPy', 'Pandas', 'Spark']","['Kafka', 'Scikit-learn', 'PyTorch']","['Communication', 'Project Management']",Bachelor,6
res_19,Mid,Full-Stack,6,"['React', 'Node.js', 'Express', 'Angular']",[],"['Communication', 'Leadership']",Bootcamp,8
res_20,Principal,Frontend,11,"['Tailwind CSS', 'CSS3', 'React', 'JavaScript']","['Angular', 'Next.js', 'Python']","['Project Management', 'Communication']",Bootcamp,4
res_21,Mid,Backend,4,"['FastAPI', 'Node.js', 'Rails', 'ASP.NET']","['Django', 'JavaScript', 'Python']","['Project Management', 'Mentoring']",Bootcamp,6
res_22,Senior,Backend,9,"['Django', 'Spring Boot', 'Rails', 'Node.js']","['FastAPI', 'Python', 'TypeScript']","['Problem Solving', 'Communication']",Bachelor,7
res_23,Mid,Backend,3,"['Python', 'Django', 'Express', 'Flask']","['JavaScript', 'Rails', 'TypeScript']","['Communication', 'Project Management']",Bachelor,6
res_24,Senior,Backend,8,"['Node.js', 'Python', 'Rails', 'Django']","['ASP.NET', 'FastAPI', 'TypeScript']","['Project Management', 'Mentoring']",Bootcamp,7
res_25,Senior,Full-Stack,8,"['Express', 'Node.js', 'React', 'Angular']",[],"['Mentoring', 'Leadership']",Bachelor,4
res_26,Principal,DevOps,14,"['AWS', 'Kubernetes', 'Terraform', 'Jenkins']","['GitHub Actions', 'GCP', 'Azure']","['Project Management', 'Leadership']",Bootcamp,2
res_27,Entry,Frontend,1,"['Next.js', 'Python', 'HTML5', 'JavaScript']","['Vue.js', 'React', 'Tailwind CSS']","['Problem Solving', 'Project Management']",Bachelor,6
res_28,Principal,Full-Stack,13,"['Express', 'Angular', 'React', 'Node.js']",[],"['Mentoring', 'Leadership']",Bachelor,4
res_29,Entry,Full-Stack,3,"['Express', 'Node.js', 'Angular', 'React']",[],"['Project Management', 'Problem Solving']",Bachelor,3
res_30,Mid,DevOps,4,"['Terraform', 'AWS', 'Docker', 'Azure']","['GCP', 'GitHub Actions', 'Jenkins']","['Leadership', 'Communication']",Bachelor,8
res_31,Senior,Data,9,"['Kafka', 'Pandas', 'PyTorch', 'NumPy']","['Scikit-learn', 'TensorFlow', 'Spark']","['Project Management', 'Mentoring']",Bootcamp,2
res_32,Senior,Backend,9,"['JavaScript', 'Python', 'ASP.NET', 'Django']","['Express', 'Rails', 'Spring Boot']","['Leadership', 'Mentoring']",Bootcamp,6
res_33,Principal,Frontend,11,"['CSS3', 'Angular', 'JavaScript', 'Tailwind CSS']","['React', 'Svelte', 'Next.js']","['Project Management', 'Problem Solving']",Bachelor,5
res_34,Principal,Backend,12,"['ASP.NET', 'TypeScript', 'Python', 'Rails']","['JavaScript', 'FastAPI', 'Django']","['Communication', 'Mentoring']",Bachelor,6
