id,title,domain,seniority,experience_required,required_skills,employment_type,work_arrangement
job_0,Entry Full-Stack Engineer,Full-Stack,Entry,0-2,"['Express', 'Node.js', 'React']",Full-time,Hybrid
job_1,Mid Backend Engineer,Backend,Mid,3-5,"['Node.js', 'Python', 'Express']",Contract,On-site
job_2,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'NumPy', 'Pandas']",Contract,Hybrid
job_3,Principal Backend Engineer,Backend,Principal,10+,"['Python', 'JavaScript', 'Express']",Full-time,Remote
job_4,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Node.js', 'Express', 'React']",Full-time,On-site
job_5,Principal Full-Stack Engineer,Full-Stack,Principal,10+,"['Node.js', 'Angular', 'React']",Contract,On-site
job_6,Mid Frontend Engineer,Frontend,Mid,3-5,"['Angular', 'React', 'Vue.js']",Full-time,Remote
job_7,Principal Frontend Engineer,Frontend,Principal,10+,"['Vue.js', 'Angular', 'React']",Contract,Hybrid
job_8,Principal DevOps Engineer,DevOps,Principal,10+,"['Kubernetes', 'AWS', 'Docker']",Contract,On-site
job_9,Entry Data Engineer,Data,Entry,0-2,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Remote
job_10,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Python', 'Node.js']",Contract,Hybrid
job_11,Senior Data Engineer,Data,Senior,6-10,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,Hybrid
job_12,Mid Backend Engineer,Backend,Mid,3-5,"['Node.js', 'JavaScript', 'Python']",Full-time,Remote
job_13,Mid Full-Stack Engineer,Full-Stack,Mid,3-5,"['Express', 'Node.js', 'Angular']",Full-time,On-site
job_14,Entry Data Engineer,Data,Entry,0-2,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,Hybrid
job_15,Mid Data Engineer,Data,Mid,3-5,"['Pandas', 'Scikit-learn', 'NumPy']",Full-time,Hybrid
job_16,Mid Data Engineer,Data,Mid,3-5,"['Scikit-learn', 'Pandas', 'NumPy']",Full-time,Remote
job_17,Principal Backend Engineer,Backend,Principal,10+,"['JavaScript', 'Node.js', 'Python']",Full-time,Remote
job_18,Entry Frontend Engineer,Frontend,Entry,0-2,"['Angular', 'React', 'Vue.js']",Contract,On-site
job_19,Senior Frontend Engineer,Frontend,Senior,6-10,"['Vue.js', 'React', 'Angular']",Full-time,Hybrid
job_20,Entry Backend Engineer,Backend,Entry,0-2,"['JavaScript', 'Python', 'Node.js']",Contract,On-site
job_21,Principal DevOps Engineer,DevOps,Principal,10+,"['Docker', 'Kubernetes', 'AWS']",Contract,Hybrid
job_22,Mid DevOps Engineer,DevOps,Mid,3-5,"['AWS', 'Docker', 'Kubernetes']",Full-time,Remote
job_23,Principal Data Engineer,Data,Principal,10+,"['Scikit-learn', 'Pandas', 'NumPy']",Contract,On-site
job_24,Senior DevOps Engineer,DevOps,Senior,6-10,"['AWS', 'Kubernetes', 'Docker']",Contract,Hybrid
job_25,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'Vue.js', 'React']",Full-time,Remote
job_26,Principal Frontend Engineer,Frontend,Principal,10+,"['Angular', 'React', 'Vue.js']",Contract,Hybrid
job_27,Mid Backend Engineer,Backend,Mid,3-5,"['JavaScript', 'Node.js', 'Python']",Contract,Hybrid
job_28,Senior Backend Engineer,Backend,Senior,6-10,"['JavaScript', 'Python', 'Express']",Full-time,On-site
job_29,Mid Frontend Engineer,Frontend,Mid,3-5,"['React', 'Vue.js', 'Angular']",Full-time,Hybrid
job_30,Entry Backend Engineer,Backend,Entry,0-2,"['JavaScript', 'Python', 'Node.js']",Full-time,Hybrid
job_31,Mid Frontend Engineer,Frontend,Mid,3-5,"['React', 'Angular', 'Vue.js']",Full-time,On-site
